freq,nrg_bal,siec,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,FC_OTH_HH_E,G3000,TJ,RS	9707.400 	8889.300 	8142.300 	7285.500 	5967.900 	6327.900 	7023.600 	8001.448 	8133.823 	8506.640 	10100.754 	12390.294 
A,FC_OTH_HH_E,G3000,TJ,SE	: 	: 	: 	: 	: 	1199.700 	1265.400 	1512.000 	1368.900 	833.400 	795.600 	1165.500 
A,FC_OTH_HH_E,G3000,TJ,SI	4757.805 	4741.044 	4906.303 	4789.705 	3710.813 	4331.675 	4815.826 	4983.132 	4646.867 	4427.824 	4421.961 	4706.474 
A,FC_OTH_HH_E,G3000,TJ,SK	: 	: 	: 	: 	: 	43983.900 	44712.900 	48149.100 	46845.000 	46891.800 	47871.000 	51441.300 
A,FC_OTH_HH_E,G3000,TJ,UA	: 	: 	: 	: 	: 	: 	388803.690 	332724.996 	363796.201 	286006.501 	: 	: 
A,FC_OTH_HH_E,G3000,TJ,UK	1262289.416 	1000644.034 	1111903.571 	1116183.117 	919158.810 	964164.520 	991034.853 	956047.935 	1001711.863 	: 	: 	: 
A,FC_OTH_HH_E,G3000,TJ_GCV,AT	72743.304 	64642.348 	65800.191 	66478.893 	58221.521 	63154.536 	69798.963 	68329.153 	62534.036 	66354.813 	66217.651 	76011.096 
A,FC_OTH_HH_E,G3000,TJ_GCV,BA	: 	: 	: 	: 	1250.000 	1543.000 	1607.000 	1757.000 	1674.000 	1803.000 	1889.000 	2148.000 
A,FC_OTH_HH_E,G3000,TJ_GCV,BE	: 	: 	: 	: 	: 	: 	155469.300 	152060.200 	151829.100 	150552.700 	142393.000 	166886.900 
A,FC_OTH_HH_E,G3000,TJ_GCV,BG	2294.444 	2603.333 	2485.556 	2091.111 	2102.222 	2407.501 	2739.808 	3166.340 	3595.082 	3664.228 	4469.116 	5276.456 
A,FC_OTH_HH_E,G3000,TJ_GCV,CZ	: 	: 	: 	: 	: 	83243.000 	92746.000 	93248.001 	87403.775 	83521.424 	86340.847 	96835.615 
A,FC_OTH_HH_E,G3000,TJ_GCV,DE	1112140.000 	919141.000 	1005705.000 	1047127.999 	851228.000 	918251.001 	1027742.000 	1004749.265 	1035766.307 	1041095.358 	1011608.506 	1168959.114 
A,FC_OTH_HH_E,G3000,TJ_GCV,DK	: 	: 	: 	: 	: 	27971.111 	28885.556 	27570.000 	28612.511 	28647.177 	27541.567 	26939.877 
A,FC_OTH_HH_E,G3000,TJ_GCV,EA20	: 	: 	: 	: 	: 	: 	: 	: 	3206488.678 	3169874.989 	3088658.893 	3431191.774 
A,FC_OTH_HH_E,G3000,TJ_GCV,EE	2553.999 	2404.000 	2574.000 	2432.000 	2429.000 	2294.000 	2691.999 	2572.001 	2558.340 	2686.880 	2615.000 	2804.999 
A,FC_OTH_HH_E,G3000,TJ_GCV,EL	: 	: 	: 	10813.000 	: 	16547.000 	15309.100 	16778.121 	15413.400 	17881.159 	20561.430 	23227.915 
A,FC_OTH_HH_E,G3000,TJ_GCV,ES	198073.461 	158729.962 	163264.778 	148564.830 	143948.976 	154354.290 	155147.270 	154609.685 	169977.986 	160824.013 	161628.437 	169079.999 
A,FC_OTH_HH_E,G3000,TJ_GCV,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	3741920.487 	3702358.606 	3653862.719 	4077975.582 
A,FC_OTH_HH_E,G3000,TJ_GCV,FI	: 	: 	: 	: 	: 	1223.000 	1247.000 	1220.000 	1140.000 	1240.000 	1114.000 	1303.000 
A,FC_OTH_HH_E,G3000,TJ_GCV,FR	645274.000 	590626.925 	653870.136 	674889.240 	504318.610 	543047.969 	587565.523 	570840.273 	537229.625 	528604.869 	500239.249 	549891.833 
A,FC_OTH_HH_E,G3000,TJ_GCV,GE	: 	: 	: 	: 	: 	: 	31026.000 	34626.839 	33621.411 	38643.226 	43958.219 	49993.900 
A,FC_OTH_HH_E,G3000,TJ_GCV,HR	27824.977 	25413.771 	23878.826 	22758.682 	20168.852 	20763.677 	21672.667 	22288.967 	21734.676 	21357.484 	22592.773 	24383.333 
A,FC_OTH_HH_E,G3000,TJ_GCV,HU	: 	: 	: 	: 	: 	121754.573 	130880.999 	138243.999 	131677.778 	129925.556 	140800.000 	154882.222 
A,FC_OTH_HH_E,G3000,TJ_GCV,IE	: 	: 	: 	: 	: 	25771.557 	26137.234 	25789.409 	28045.519 	27454.205 	27380.001 	27623.121 
A,FC_OTH_HH_E,G3000,TJ_GCV,IT	: 	: 	: 	: 	: 	790168.000 	795374.000 	802963.627 	767551.650 	750211.539 	741184.397 	783282.180 
A,FC_OTH_HH_E,G3000,TJ_GCV,LT	: 	: 	: 	: 	: 	: 	: 	7153.000 	7665.000 	7482.100 	8111.100 	10229.900 
A,FC_OTH_HH_E,G3000,TJ_GCV,LU	10667.473 	10037.661 	9294.951 	9831.502 	9448.538 	10297.863 	10954.428 	12446.574 	11375.635 	11462.163 	12012.911 	11194.838 
A,FC_OTH_HH_E,G3000,TJ_GCV,LV	5789.000 	4970.000 	4969.000 	4731.000 	4714.000 	4563.000 	4948.000 	5179.884 	5544.369 	5151.264 	5097.246 	5370.219 
A,FC_OTH_HH_E,G3000,TJ_GCV,MD	: 	: 	: 	: 	: 	: 	: 	10476.000 	12004.000 	12067.000 	13412.000 	16002.000 
A,FC_OTH_HH_E,G3000,TJ_GCV,MK	0.000 	0.000 	0.000 	0.419 	1.875 	8.602 	4.280 	7.000 	9.000 	8.400 	8.317 	8.318 
A,FC_OTH_HH_E,G3000,TJ_GCV,MT	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,FC_OTH_HH_E,G3000,TJ_GCV,NL	451936.000 	351088.999 	375453.000 	398852.000 	297449.001 	316985.803 	330282.755 	320327.375 	318205.851 	307271.638 	294148.902 	335216.911 
A,FC_OTH_HH_E,G3000,TJ_GCV,NO	184.288 	153.738 	164.941 	172.744 	176.703 	156.179 	167.659 	149.685 	149.260 	72.009 	72.799 	71.339 
A,FC_OTH_HH_E,G3000,TJ_GCV,PL	: 	: 	: 	: 	0.000 	146891.000 	161276.000 	168857.811 	165679.041 	169275.696 	178703.190 	212411.956 
A,FC_OTH_HH_E,G3000,TJ_GCV,PT	13910.000 	12001.000 	11993.000 	11385.000 	12009.000 	12230.000 	11343.000 	11664.000 	12704.000 	13223.000 	13651.000 	13340.000 
A,FC_OTH_HH_E,G3000,TJ_GCV,RO	: 	: 	: 	: 	: 	104336.099 	106422.235 	112635.567 	116942.622 	116523.536 	126465.106 	149142.682 
A,FC_OTH_HH_E,G3000,TJ_GCV,RS	10786.000 	9877.000 	9047.000 	8095.000 	6631.000 	7031.000 	7804.000 	8890.498 	9037.581 	9451.822 	11223.060 	13766.993 
A,FC_OTH_HH_E,G3000,TJ_GCV,SE	: 	: 	: 	: 	: 	1333.000 	1406.000 	1680.000 	1521.000 	926.000 	884.000 	1295.000 
